20 - 35 Lakh,Mahindra Thar ROXX,Rs.12.25 - 22.06 Lakh*,15.2 kmpl,2184 cc,5 seater,,,,,,,
20 - 35 Lakh,Tata Harrier,Rs.14 - 25.25 Lakh*,16.8 kmpl,1956 cc,5 seater,,,,,,,
20 - 35 Lakh,Tata Safari,Rs.14.66 - 25.96 Lakh*,16.3 kmpl,1956 cc,7 seater,,,,,,,
20 - 35 Lakh,Toyota Innova Hycross,Rs.18.16 - 30.83 Lakh*,23.24 kmpl,1987 cc,8 seater,,,,,,,
20 - 35 Lakh,Toyota Hilux,Rs.28.02 - 35.37 Lakh*,10 kmpl,2755 cc,5 seater,,,,,,,
20 - 35 Lakh,MG Hector,Rs.14 - 20.76 Lakh*,15.58 kmpl,1956 cc,5 seater,,,,,,,
20 - 35 Lakh,Mahindra XEV 9e,Rs.21.90 - 31.25 Lakh*,5 seater,79 kWh,656 km,,,,,,,
20 - 35 Lakh,Hyundai Alcazar,Rs.14.47 - 21.10 Lakh*,20.4 kmpl,1493 cc,7 seater,,,,,,,
20 - 35 Lakh,Tata Harrier EV,Rs.21.49 - 30.23 Lakh*,5 seater,75 kWh,627 km,,,,,,,
20 - 35 Lakh,Force Urbania,Rs.26.34 - 31.83 Lakh*,11 kmpl,2596 cc,10 seater,,,,,,,
20 - 35 Lakh,Kia Carens Clavis,Rs.11.08 - 20.71 Lakh*,19.54 kmpl,1497 cc,7 seater,,,,,,,
20 - 35 Lakh,Jeep Compass,Rs.17.73 - 30.50 Lakh*,17.1 kmpl,1956 cc,5 seater,,,,,,,
20 - 35 Lakh,VinFast VF7,Rs.20.89 - 25.49 Lakh*,70 kWh,532 km,348.66 bhp,,,,,,,
20 - 35 Lakh,Maruti Invicto,Rs.24.97 - 28.61 Lakh*,23.24 kmpl,1987 cc,7 seater,,,,,,,
20 - 35 Lakh,Hyundai Tucson,Rs.27.32 - 33.64 Lakh*,18 kmpl,1999 cc,5 seater,,,,,,,
35 - 50 Lakh,Toyota Fortuner,Rs.33.65 - 48.85 Lakh*,11 kmpl,2755 cc,7 seater,,,,,,,
35 - 50 Lakh,Toyota Hilux,Rs.28.02 - 35.37 Lakh*,10 kmpl,2755 cc,5 seater,,,,,,,
35 - 50 Lakh,Audi A4,Rs.46.25 - 55.11 Lakh*,15 kmpl,1984 cc,5 seater,,,,,,,
35 - 50 Lakh,Toyota Camry,Rs.47.48 Lakh*,25.49 kmpl,2487 cc,5 seater,,,,,,,
35 - 50 Lakh,Toyota Fortuner Legender,Rs.41.54 - 46.75 Lakh*,10.52 kmpl,2755 cc,7 seater,,,,,,,
35 - 50 Lakh,Skoda Kodiaq,Rs.39.99 - 45.96 Lakh*,14.86 kmpl,1984 cc,5 seater,,,,,,,
35 - 50 Lakh,Audi Q3,Rs.43.07 - 52.98 Lakh*,10.14 kmpl,1984 cc,5 seater,,,,,,,
35 - 50 Lakh,MG Gloster,Rs.38.33 - 43.16 Lakh*,10 kmpl,1996 cc,7 seater,,,,,,,
35 - 50 Lakh,Jeep Meridian,Rs.23.33 - 36.21 Lakh*,14.1 kmpl,1956 cc,7 seater,,,,,,,
35 - 50 Lakh,Skoda Octavia RS,Rs.49.99 Lakh*,1984 cc,5 seater,,,,,,,,
35 - 50 Lakh,Volvo EX30,Rs.39.99 Lakh*,5 seater,69 kWh,480 km,,,,,,,
